#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca10_H7VMKALXX_combined_L3_1	150	916960	133527662	96.93	94.81	87.76




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca10_H7VMKALXX_combined_L3_1	458480	404476	88.2% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca10_H7VMKALXX_combined_L3_1	1988665	73553	0.05	8894	0.20	324382	0.58


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca10_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	115	43	0.73
Ca10_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1234	690	0.64
Ca10_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	121	93	0.57
Ca10_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	58	34	0.63
Ca10_H7VMKALXX_combined_L3_1	NOTCH3	CHG	319	101	0.76
Ca10_H7VMKALXX_combined_L3_1	PTEN	CHG	125	60	0.68
Ca10_H7VMKALXX_combined_L3_1	EP300-1	CHG	7	13	0.35
Ca10_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	21	14	0.60
Ca10_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	30	18	0.62
Ca10_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	376	5025	0.07
Ca10_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	62	3816	0.02
Ca10_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	60	1954	0.03
Ca10_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	52	2171	0.02
Ca10_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	300	8808	0.03
Ca10_H7VMKALXX_combined_L3_1	MET-1	CHH	426	38	0.92
Ca10_H7VMKALXX_combined_L3_1	STK11	CHH	56462	27249	0.67
Ca10_H7VMKALXX_combined_L3_1	NOTCH2	CHH	20567	8250	0.71
Ca10_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	511	297	0.63
Ca10_H7VMKALXX_combined_L3_1	FGFR3-1	CHH	309	181	0.63
Ca10_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	14249	5320	0.73
Ca10_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	1082	314	0.78
Ca10_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	1648	583	0.74
Ca10_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	7975	1587	0.83
Ca10_H7VMKALXX_combined_L3_1	ARID2-1	CHH	1284	554	0.70
Ca10_H7VMKALXX_combined_L3_1	RB1	CHH	968	282	0.77
Ca10_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	1742	881	0.66
Ca10_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	1845	783	0.70
Ca10_H7VMKALXX_combined_L3_1	RAB31-2	CHH	39	1055	0.04
Ca10_H7VMKALXX_combined_L3_1	RAB31-1	CHH	232	5302	0.04
Ca10_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	1469	355	0.81
Ca10_H7VMKALXX_combined_L3_1	FBXW7	CHH	127	99	0.56
Ca10_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	31625	8804	0.78
Ca10_H7VMKALXX_combined_L3_1	CBL-2	CHH	9645	6792	0.59
Ca10_H7VMKALXX_combined_L3_1	CBL-1	CHH	19187	10542	0.65
Ca10_H7VMKALXX_combined_L3_1	DAB2IP	CHH	160	7415	0.02
Ca10_H7VMKALXX_combined_L3_1	EP300-2	CHH	504	356	0.59
Ca10_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	4314	2540	0.63
Ca10_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	601	367	0.62
Ca10_H7VMKALXX_combined_L3_1	EGFR-2	CHH	6762	2804	0.71
Ca10_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	1442	746	0.66
Ca10_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	764	288	0.73
Ca10_H7VMKALXX_combined_L3_1	NOTCH3	CHH	3578	3006	0.54
Ca10_H7VMKALXX_combined_L3_1	PTEN	CHH	1512	701	0.68
Ca10_H7VMKALXX_combined_L3_1	EP300-1	CHH	83	157	0.35
Ca10_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	860	319	0.73
Ca10_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	514	382	0.57
Ca10_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	2030	8754	0.19
Ca10_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	157	7567	0.02
Ca10_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	247	6128	0.04
