#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca3_H7VMKALXX_combined_L3_1	150	1231966	179650713	97.08	94.63	87.37




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca3_H7VMKALXX_combined_L3_1	615983	554517	90.0% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca3_H7VMKALXX_combined_L3_1	3208929	183542	0.07	13422	0.21	368650	0.58


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca3_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	193	59	0.77
Ca3_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	55	35	0.61
Ca3_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	278	116	0.71
Ca3_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	1640	373	0.81
Ca3_H7VMKALXX_combined_L3_1	ARID2-1	CHG	188	91	0.67
Ca3_H7VMKALXX_combined_L3_1	RB1	CHG	118	109	0.52
Ca3_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	98	69	0.59
Ca3_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	356	254	0.58
Ca3_H7VMKALXX_combined_L3_1	RAB31-2	CHG	22	611	0.03
Ca3_H7VMKALXX_combined_L3_1	RAB31-1	CHG	95	2465	0.04
Ca3_H7VMKALXX_combined_L3_1	FBXW7	CHG	17	7	0.71
Ca3_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	3696	1461	0.72
Ca3_H7VMKALXX_combined_L3_1	CBL-2	CHG	593	410	0.59
Ca3_H7VMKALXX_combined_L3_1	CBL-1	CHG	5028	2776	0.64
Ca3_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	83	35	0.70
Ca3_H7VMKALXX_combined_L3_1	DAB2IP	CHG	206	9184	0.02
Ca3_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	129	46	0.74
Ca3_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	38	32	0.54
Ca3_H7VMKALXX_combined_L3_1	EP300-2	CHG	312	221	0.59
Ca3_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1208	692	0.64
Ca3_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	153	134	0.53
Ca3_H7VMKALXX_combined_L3_1	NOTCH2	CHG	2517	1592	0.61
Ca3_H7VMKALXX_combined_L3_1	NOTCH3	CHG	319	118	0.73
Ca3_H7VMKALXX_combined_L3_1	PTEN	CHG	162	55	0.75
Ca3_H7VMKALXX_combined_L3_1	EP300-1	CHG	61	51	0.54
Ca3_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	72	37	0.66
Ca3_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	34	25	0.58
Ca3_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	218	4026	0.05
Ca3_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	96	6562	0.01
Ca3_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	83	3152	0.03
Ca3_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	61	420	0.13
Ca3_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	88	4987	0.02
Ca3_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	551	13377	0.04
Ca3_H7VMKALXX_combined_L3_1	MET-1	CHH	1151	67	0.94
Ca3_H7VMKALXX_combined_L3_1	MET-2	CHH	314	153	0.67
Ca3_H7VMKALXX_combined_L3_1	STK11	CHH	70252	20977	0.77
Ca3_H7VMKALXX_combined_L3_1	ARID2-2	CHH	30	0	1.00
Ca3_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	17523	6634	0.73
Ca3_H7VMKALXX_combined_L3_1	FGFR3-1	CHH	468	266	0.64
Ca3_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	312	247	0.56
Ca3_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	1508	398	0.79
Ca3_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	287	103	0.74
Ca3_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	2207	1037	0.68
Ca3_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	12177	3293	0.79
Ca3_H7VMKALXX_combined_L3_1	ARID2-1	CHH	1526	671	0.69
Ca3_H7VMKALXX_combined_L3_1	RB1	CHH	941	239	0.80
Ca3_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	2306	1057	0.69
Ca3_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	2042	961	0.68
Ca3_H7VMKALXX_combined_L3_1	RAB31-2	CHH	28	924	0.03
Ca3_H7VMKALXX_combined_L3_1	RAB31-1	CHH	256	7325	0.03
Ca3_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	2106	522	0.80
Ca3_H7VMKALXX_combined_L3_1	FBXW7	CHH	221	125	0.64
Ca3_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	27469	7205	0.79
Ca3_H7VMKALXX_combined_L3_1	CBL-2	CHH	6377	3352	0.66
Ca3_H7VMKALXX_combined_L3_1	CBL-1	CHH	18639	11163	0.63
Ca3_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	497	200	0.71
Ca3_H7VMKALXX_combined_L3_1	DAB2IP	CHH	226	9838	0.02
Ca3_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	608	379	0.62
Ca3_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	772	344	0.69
Ca3_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	2673	1690	0.61
Ca3_H7VMKALXX_combined_L3_1	EP300-2	CHH	1269	760	0.63
Ca3_H7VMKALXX_combined_L3_1	EGFR-2	CHH	6373	2663	0.71
Ca3_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	1878	981	0.66
Ca3_H7VMKALXX_combined_L3_1	NOTCH2	CHH	27041	10481	0.72
Ca3_H7VMKALXX_combined_L3_1	NOTCH3	CHH	4025	2870	0.58
Ca3_H7VMKALXX_combined_L3_1	PTEN	CHH	1839	717	0.72
Ca3_H7VMKALXX_combined_L3_1	EP300-1	CHH	435	541	0.45
Ca3_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	2125	980	0.68
Ca3_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	708	479	0.60
Ca3_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	1470	7767	0.16
Ca3_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	223	12959	0.02
Ca3_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	339	9860	0.03
