#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T12_H7VMKALXX_combined_L3_1	150	1560582	227132263	96.88	94.63	87.41




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T12_H7VMKALXX_combined_L3_1	780291	697036	89.3% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T12_H7VMKALXX_combined_L3_1	4031638	136009	0.04	13092	0.15	486023	0.54


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T12_H7VMKALXX_combined_L3_1	ERCC1-1	CG	541	1483	0.27
T12_H7VMKALXX_combined_L3_1	NOTCH2	CG	12547	253199	0.05
T12_H7VMKALXX_combined_L3_1	NOTCH3	CG	1838	2996	0.38
T12_H7VMKALXX_combined_L3_1	PTEN	CG	373	1091	0.25
T12_H7VMKALXX_combined_L3_1	ERBB2-2	CG	1271	5251	0.19
T12_H7VMKALXX_combined_L3_1	ERCC2-2	CG	462	1620	0.22
T12_H7VMKALXX_combined_L3_1	ERCC2-1	CG	280	816	0.26
T12_H7VMKALXX_combined_L3_1	PRDM14-3	CG	1094	10413	0.10
T12_H7VMKALXX_combined_L3_1	PRDM14-2	CG	969	10654	0.08
T12_H7VMKALXX_combined_L3_1	PRDM14-1	CG	982	4314	0.19
T12_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	3	27	0.10
T12_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	97	5905	0.02
T12_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	345	13065	0.03
T12_H7VMKALXX_combined_L3_1	MET-1	CHG	239	76	0.76
T12_H7VMKALXX_combined_L3_1	MET-2	CHG	35	19	0.65
T12_H7VMKALXX_combined_L3_1	STK11	CHG	8301	3507	0.70
T12_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	143	104	0.58
T12_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	679	354	0.66
T12_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	145	110	0.57
T12_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	388	169	0.70
T12_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	138	79	0.64
T12_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	503	218	0.70
T12_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	2910	722	0.80
T12_H7VMKALXX_combined_L3_1	ARID2-1	CHG	271	140	0.66
T12_H7VMKALXX_combined_L3_1	RB1	CHG	513	448	0.53
T12_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	183	165	0.53
T12_H7VMKALXX_combined_L3_1	CBL-2	CHG	1090	556	0.66
T12_H7VMKALXX_combined_L3_1	RAB31-1	CHG	113	3627	0.03
T12_H7VMKALXX_combined_L3_1	FBXW7	CHG	77	50	0.61
T12_H7VMKALXX_combined_L3_1	ARID1A-2	CHG	32	19	0.63
T12_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	3660	1600	0.70
T12_H7VMKALXX_combined_L3_1	MAP2K1-2	CHG	37	33	0.53
T12_H7VMKALXX_combined_L3_1	CBL-1	CHG	6156	3666	0.63
T12_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	923	700	0.57
T12_H7VMKALXX_combined_L3_1	DAB2IP	CHG	258	10153	0.02
T12_H7VMKALXX_combined_L3_1	EP300-2	CHG	474	393	0.55
T12_H7VMKALXX_combined_L3_1	EP300-1	CHG	65	79	0.45
T12_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	85	88	0.49
T12_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	357	200	0.64
T12_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1469	970	0.60
T12_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	333	281	0.54
T12_H7VMKALXX_combined_L3_1	NOTCH2	CHG	3026	2051	0.60
T12_H7VMKALXX_combined_L3_1	NOTCH3	CHG	483	158	0.75
T12_H7VMKALXX_combined_L3_1	PTEN	CHG	173	100	0.63
T12_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	116	98	0.54
T12_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	114	57	0.67
T12_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	90	56	0.62
T12_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	657	10961	0.06
T12_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	191	9392	0.02
T12_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	74	4151	0.02
T12_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	3	57	0.05
T12_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	129	7331	0.02
T12_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	572	17344	0.03
T12_H7VMKALXX_combined_L3_1	MET-1	CHH	1377	494	0.74
T12_H7VMKALXX_combined_L3_1	MET-2	CHH	1104	600	0.65
T12_H7VMKALXX_combined_L3_1	STK11	CHH	63550	30219	0.68
T12_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	1849	844	0.69
T12_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	28907	12151	0.70
T12_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	1019	540	0.65
T12_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	2982	1114	0.73
T12_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	598	354	0.63
T12_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	4365	1749	0.71
T12_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	21804	5732	0.79
T12_H7VMKALXX_combined_L3_1	ARID2-1	CHH	1916	899	0.68
T12_H7VMKALXX_combined_L3_1	RB1	CHH	3160	1280	0.71
T12_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	4859	2356	0.67
T12_H7VMKALXX_combined_L3_1	CBL-2	CHH	10979	6253	0.64
T12_H7VMKALXX_combined_L3_1	RAB31-1	CHH	398	10619	0.04
T12_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	3577	1046	0.77
T12_H7VMKALXX_combined_L3_1	FBXW7	CHH	975	651	0.60
T12_H7VMKALXX_combined_L3_1	ARID1A-2	CHH	206	85	0.71
T12_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	28515	7784	0.79
T12_H7VMKALXX_combined_L3_1	MAP2K1-2	CHH	145	65	0.69
T12_H7VMKALXX_combined_L3_1	CBL-1	CHH	23958	13998	0.63
T12_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	5379	2470	0.69
T12_H7VMKALXX_combined_L3_1	DAB2IP	CHH	258	10927	0.02
T12_H7VMKALXX_combined_L3_1	EP300-2	CHH	1926	1261	0.60
T12_H7VMKALXX_combined_L3_1	EP300-1	CHH	400	785	0.34
T12_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	755	312	0.71
T12_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	1829	1271	0.59
T12_H7VMKALXX_combined_L3_1	EGFR-2	CHH	8180	3524	0.70
T12_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	3986	2019	0.66
T12_H7VMKALXX_combined_L3_1	NOTCH2	CHH	33798	13595	0.71
T12_H7VMKALXX_combined_L3_1	NOTCH3	CHH	5881	4315	0.58
T12_H7VMKALXX_combined_L3_1	PTEN	CHH	2143	1103	0.66
T12_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	6996	4244	0.62
T12_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	4295	2044	0.68
T12_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	1640	1228	0.57
T12_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	3537	19316	0.15
T12_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	374	19228	0.02
T12_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	429	12699	0.03
