#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T14_H7NMYALXX_combined_L1_1	150	1957552	280209643	95.07	91.83	81.55




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T14_H7NMYALXX_combined_L1_1	978776	31173	3.2% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T14_H7NMYALXX_combined_L1_1	1156211	35226	0.41	11106	0.27	566464	0.55


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T14_H7NMYALXX_combined_L1_1	PRDM14-3	CHG	13273	9050	0.59
T14_H7NMYALXX_combined_L1_1	PIK3CA-1	CHG	2975	1375	0.68
T14_H7NMYALXX_combined_L1_1	RAB31-1	CHG	57	86	0.40
T14_H7NMYALXX_combined_L1_1	FBXW7	CHG	177	201	0.47
T14_H7NMYALXX_combined_L1_1	ARID2-1	CHG	12	8	0.60
T14_H7NMYALXX_combined_L1_1	KEAP1-2	CHG	347	136	0.72
T14_H7NMYALXX_combined_L1_1	ABCA3-1	CHH	34	84	0.29
T14_H7NMYALXX_combined_L1_1	MET-2	CHH	491	607	0.45
T14_H7NMYALXX_combined_L1_1	ERCC1-2	CHH	3062	1288	0.70
T14_H7NMYALXX_combined_L1_1	PIK3CA-1	CHH	18491	9697	0.66
T14_H7NMYALXX_combined_L1_1	KEAP1-1	CHH	99836	39599	0.72
T14_H7NMYALXX_combined_L1_1	KEAP1-2	CHH	2578	1155	0.69
T14_H7NMYALXX_combined_L1_1	ARID2-1	CHH	33	67	0.33
T14_H7NMYALXX_combined_L1_1	ARID2-2	CHH	192	115	0.63
T14_H7NMYALXX_combined_L1_1	CTNNB1-2	CHH	317	486	0.39
T14_H7NMYALXX_combined_L1_1	RAB31-1	CHH	232	253	0.48
T14_H7NMYALXX_combined_L1_1	MAP2K1-1	CHH	17138	15860	0.52
T14_H7NMYALXX_combined_L1_1	FBXW7	CHH	2255	2574	0.47
T14_H7NMYALXX_combined_L1_1	ARID1A-1	CHH	554	390	0.59
T14_H7NMYALXX_combined_L1_1	CBL-2	CHH	73	1168	0.06
T14_H7NMYALXX_combined_L1_1	CBL-1	CHH	250	9336	0.03
T14_H7NMYALXX_combined_L1_1	EP300-1	CHH	15514	9494	0.62
T14_H7NMYALXX_combined_L1_1	ERCC1-1	CHH	2399	1554	0.61
T14_H7NMYALXX_combined_L1_1	NOTCH2	CHH	3858	2185	0.64
T14_H7NMYALXX_combined_L1_1	NOTCH3	CHH	187	156	0.55
T14_H7NMYALXX_combined_L1_1	ERBB2-2	CHH	1570	1354	0.54
T14_H7NMYALXX_combined_L1_1	ERCC2-2	CHH	7337	2375	0.76
T14_H7NMYALXX_combined_L1_1	ERCC2-1	CHH	3145	91349	0.03
T14_H7NMYALXX_combined_L1_1	PRDM14-3	CHH	111974	57289	0.66
