#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T9_H7VMKALXX_combined_L3_1	150	1561782	227338651	96.90	94.67	87.55




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T9_H7VMKALXX_combined_L3_1	780891	692147	88.6% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T9_H7VMKALXX_combined_L3_1	4063111	141353	0.05	14480	0.17	529794	0.56


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T9_H7VMKALXX_combined_L3_1	NFE2L2-2	CG	268	1270	0.17
T9_H7VMKALXX_combined_L3_1	DAB2IP	CG	2815	8991	0.24
T9_H7VMKALXX_combined_L3_1	ERBB2-1	CG	828	8085	0.09
T9_H7VMKALXX_combined_L3_1	ERBB2-2	CG	1224	4627	0.21
T9_H7VMKALXX_combined_L3_1	ARID2-2	CG	241	426	0.36
T9_H7VMKALXX_combined_L3_1	EP300-2	CG	783	4168	0.16
T9_H7VMKALXX_combined_L3_1	EGFR-1	CG	272	3259	0.08
T9_H7VMKALXX_combined_L3_1	EGFR-2	CG	2855	6809	0.30
T9_H7VMKALXX_combined_L3_1	ERCC1-1	CG	370	1311	0.22
T9_H7VMKALXX_combined_L3_1	NOTCH2	CG	12889	227203	0.05
T9_H7VMKALXX_combined_L3_1	NOTCH3	CG	1887	3081	0.38
T9_H7VMKALXX_combined_L3_1	PTEN	CG	423	964	0.30
T9_H7VMKALXX_combined_L3_1	EP300-1	CG	286	2312	0.11
T9_H7VMKALXX_combined_L3_1	ERCC2-2	CG	284	1006	0.22
T9_H7VMKALXX_combined_L3_1	ERCC2-1	CG	315	810	0.28
T9_H7VMKALXX_combined_L3_1	PRDM14-3	CG	1010	8824	0.10
T9_H7VMKALXX_combined_L3_1	PRDM14-2	CG	1004	10413	0.09
T9_H7VMKALXX_combined_L3_1	PRDM14-1	CG	1020	4777	0.18
T9_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	149	332	0.31
T9_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	104	5444	0.02
T9_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	298	9808	0.03
T9_H7VMKALXX_combined_L3_1	MET-1	CHG	358	52	0.87
T9_H7VMKALXX_combined_L3_1	MET-2	CHG	17	9	0.65
T9_H7VMKALXX_combined_L3_1	STK11	CHG	11002	4901	0.69
T9_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	137	123	0.53
T9_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	584	314	0.65
T9_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	141	121	0.54
T9_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	304	99	0.75
T9_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	63	58	0.52
T9_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	410	153	0.73
T9_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	2478	614	0.80
T9_H7VMKALXX_combined_L3_1	ARID2-1	CHG	163	54	0.75
T9_H7VMKALXX_combined_L3_1	RB1	CHG	255	228	0.53
T9_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	161	139	0.54
T9_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	585	542	0.52
T9_H7VMKALXX_combined_L3_1	RAB31-2	CHG	38	1144	0.03
T9_H7VMKALXX_combined_L3_1	RAB31-1	CHG	120	3937	0.03
T9_H7VMKALXX_combined_L3_1	FBXW7	CHG	32	28	0.53
T9_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	5499	2861	0.66
T9_H7VMKALXX_combined_L3_1	CBL-2	CHG	1270	753	0.63
T9_H7VMKALXX_combined_L3_1	CBL-1	CHG	6665	4255	0.61
T9_H7VMKALXX_combined_L3_1	DAB2IP	CHG	294	10973	0.03
T9_H7VMKALXX_combined_L3_1	EP300-2	CHG	350	301	0.54
T9_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	119	79	0.60
T9_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	371	169	0.69
T9_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1543	978	0.61
T9_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	243	171	0.59
T9_H7VMKALXX_combined_L3_1	NOTCH2	CHG	3565	2300	0.61
T9_H7VMKALXX_combined_L3_1	NOTCH3	CHG	464	163	0.74
T9_H7VMKALXX_combined_L3_1	PTEN	CHG	216	121	0.64
T9_H7VMKALXX_combined_L3_1	EP300-1	CHG	139	100	0.58
T9_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	63	34	0.65
T9_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	71	66	0.52
T9_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	609	9283	0.06
T9_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	199	9024	0.02
T9_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	88	4228	0.02
T9_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	704	1321	0.35
T9_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	139	6722	0.02
T9_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	536	13577	0.04
T9_H7VMKALXX_combined_L3_1	MET-1	CHH	2395	348	0.87
T9_H7VMKALXX_combined_L3_1	MET-2	CHH	721	353	0.67
T9_H7VMKALXX_combined_L3_1	STK11	CHH	84997	41260	0.67
T9_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	2148	1024	0.68
T9_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	26361	10380	0.72
T9_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	954	629	0.60
T9_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	2318	706	0.77
T9_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	488	259	0.65
T9_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	3205	1389	0.70
T9_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	18752	4841	0.79
T9_H7VMKALXX_combined_L3_1	ARID2-1	CHH	1316	539	0.71
T9_H7VMKALXX_combined_L3_1	RB1	CHH	1592	679	0.70
T9_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	3936	2034	0.66
T9_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	3579	1950	0.65
T9_H7VMKALXX_combined_L3_1	RAB31-2	CHH	82	1641	0.05
T9_H7VMKALXX_combined_L3_1	RAB31-1	CHH	343	11618	0.03
T9_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	2822	778	0.78
T9_H7VMKALXX_combined_L3_1	FBXW7	CHH	460	315	0.59
T9_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	44505	12179	0.79
T9_H7VMKALXX_combined_L3_1	CBL-2	CHH	14102	9004	0.61
T9_H7VMKALXX_combined_L3_1	CBL-1	CHH	26408	15252	0.63
T9_H7VMKALXX_combined_L3_1	DAB2IP	CHH	301	11688	0.03
T9_H7VMKALXX_combined_L3_1	EP300-2	CHH	1379	977	0.59
T9_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	6538	3901	0.63
T9_H7VMKALXX_combined_L3_1	ARID2-2	CHH	95	34	0.74
T9_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	1937	1276	0.60
T9_H7VMKALXX_combined_L3_1	EGFR-2	CHH	8348	3568	0.70
T9_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	2322	1342	0.63
T9_H7VMKALXX_combined_L3_1	NOTCH2	CHH	37549	15233	0.71
T9_H7VMKALXX_combined_L3_1	NOTCH3	CHH	6251	4466	0.58
T9_H7VMKALXX_combined_L3_1	PTEN	CHH	2472	1082	0.70
T9_H7VMKALXX_combined_L3_1	EP300-1	CHH	1202	944	0.56
T9_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	2564	1095	0.70
T9_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	1463	1014	0.59
T9_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	3061	16827	0.15
T9_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	386	18829	0.02
T9_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	498	13192	0.04
