#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T1_H7VMKALXX_combined_L3_1	150	1163040	168632298	96.46	94.52	87.34




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T1_H7VMKALXX_combined_L3_1	581520	495568	85.2% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T1_H7VMKALXX_combined_L3_1	3532982	122514	0.05	19152	0.26	674330	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T1_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	3425	1870	0.65
T1_H7VMKALXX_combined_L3_1	RAB31-2	CHH	16	734	0.02
T1_H7VMKALXX_combined_L3_1	RAB31-1	CHH	409	8282	0.05
T1_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	2790	857	0.77
T1_H7VMKALXX_combined_L3_1	FBXW7	CHH	1329	791	0.63
T1_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	74878	25663	0.74
T1_H7VMKALXX_combined_L3_1	MAP2K1-2	CHH	850	337	0.72
T1_H7VMKALXX_combined_L3_1	CBL-1	CHH	35112	20993	0.63
T1_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	192	105	0.65
T1_H7VMKALXX_combined_L3_1	DAB2IP	CHH	142	5887	0.02
T1_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	3006	2174	0.58
T1_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	15623	10313	0.60
T1_H7VMKALXX_combined_L3_1	EP300-2	CHH	1405	1100	0.56
T1_H7VMKALXX_combined_L3_1	EGFR-2	CHH	12891	6276	0.67
T1_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	183	164	0.53
T1_H7VMKALXX_combined_L3_1	NOTCH2	CHH	27084	11574	0.70
T1_H7VMKALXX_combined_L3_1	NOTCH3	CHH	3201	2096	0.60
T1_H7VMKALXX_combined_L3_1	PTEN	CHH	4129	2337	0.64
T1_H7VMKALXX_combined_L3_1	EP300-1	CHH	634	1149	0.36
T1_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	2275	931	0.71
T1_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	2456	1730	0.59
T1_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	5562	18023	0.24
T1_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	317	14089	0.02
T1_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	544	10695	0.05
