#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T16_H7VMKALXX_combined_L3_1	150	1217194	177197414	96.89	94.78	87.76




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T16_H7VMKALXX_combined_L3_1	608597	537728	88.4% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T16_H7VMKALXX_combined_L3_1	3298107	133990	0.05	13134	0.22	452237	0.58


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T16_H7VMKALXX_combined_L3_1	FBXW7	CHG	24	19	0.56
T16_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	5507	2722	0.67
T16_H7VMKALXX_combined_L3_1	MAP2K1-2	CHG	38	8	0.83
T16_H7VMKALXX_combined_L3_1	CBL-1	CHG	5165	3052	0.63
T16_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	532	431	0.55
T16_H7VMKALXX_combined_L3_1	DAB2IP	CHG	339	9046	0.04
T16_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	341	165	0.67
T16_H7VMKALXX_combined_L3_1	EP300-1	CHG	84	53	0.61
T16_H7VMKALXX_combined_L3_1	EP300-2	CHG	351	281	0.56
T16_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1243	792	0.61
T16_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	438	174	0.72
T16_H7VMKALXX_combined_L3_1	NOTCH2	CHG	2802	1839	0.60
T16_H7VMKALXX_combined_L3_1	NOTCH3	CHG	368	114	0.76
T16_H7VMKALXX_combined_L3_1	PTEN	CHG	171	91	0.65
T16_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	110	111	0.50
T16_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	46	27	0.63
T16_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	63	38	0.62
T16_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	439	2834	0.13
T16_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	95	3515	0.03
T16_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	68	3506	0.02
T16_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	94	169	0.36
T16_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	142	5963	0.02
T16_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	495	10281	0.05
T16_H7VMKALXX_combined_L3_1	MET-1	CHH	899	164	0.85
T16_H7VMKALXX_combined_L3_1	MET-2	CHH	266	116	0.70
T16_H7VMKALXX_combined_L3_1	STK11	CHH	82939	42447	0.66
T16_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	1647	753	0.69
T16_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	20675	8229	0.72
T16_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	608	546	0.53
T16_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	1757	600	0.75
T16_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	192	73	0.72
T16_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	2433	948	0.72
T16_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	12507	3672	0.77
T16_H7VMKALXX_combined_L3_1	ARID2-1	CHH	1781	821	0.68
T16_H7VMKALXX_combined_L3_1	RB1	CHH	1394	481	0.74
T16_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	2561	1483	0.63
T16_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	714	350	0.67
T16_H7VMKALXX_combined_L3_1	CBL-2	CHH	13415	8564	0.61
T16_H7VMKALXX_combined_L3_1	RAB31-2	CHH	48	1363	0.03
T16_H7VMKALXX_combined_L3_1	RAB31-1	CHH	377	8342	0.04
T16_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	1666	497	0.77
T16_H7VMKALXX_combined_L3_1	FBXW7	CHH	345	245	0.58
T16_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	42718	12046	0.78
T16_H7VMKALXX_combined_L3_1	MAP2K1-2	CHH	196	30	0.87
T16_H7VMKALXX_combined_L3_1	CBL-1	CHH	20105	11415	0.64
T16_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	3314	1357	0.71
T16_H7VMKALXX_combined_L3_1	DAB2IP	CHH	271	9818	0.03
T16_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	1786	1083	0.62
T16_H7VMKALXX_combined_L3_1	EP300-1	CHH	756	484	0.61
T16_H7VMKALXX_combined_L3_1	EP300-2	CHH	1392	949	0.59
T16_H7VMKALXX_combined_L3_1	EGFR-2	CHH	7012	2891	0.71
T16_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	3482	1719	0.67
T16_H7VMKALXX_combined_L3_1	NOTCH2	CHH	28878	12013	0.71
T16_H7VMKALXX_combined_L3_1	NOTCH3	CHH	4689	3432	0.58
T16_H7VMKALXX_combined_L3_1	PTEN	CHH	2119	1039	0.67
T16_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	7355	4498	0.62
T16_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	1659	925	0.64
T16_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	1037	873	0.54
T16_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	2650	6307	0.30
T16_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	183	7199	0.02
T16_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	365	10805	0.03
