#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T3_H7VMKALXX_combined_L3_1	150	1350468	196597842	96.91	94.87	87.87




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T3_H7VMKALXX_combined_L3_1	675234	599439	88.8% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T3_H7VMKALXX_combined_L3_1	4145639	159481	0.05	13326	0.23	492936	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T3_H7VMKALXX_combined_L3_1	RAB31-2	CHG	41	545	0.07
T3_H7VMKALXX_combined_L3_1	RAB31-1	CHG	105	4081	0.03
T3_H7VMKALXX_combined_L3_1	FBXW7	CHG	39	39	0.50
T3_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	4855	2950	0.62
T3_H7VMKALXX_combined_L3_1	MAP2K1-2	CHG	8	4	0.67
T3_H7VMKALXX_combined_L3_1	CBL-1	CHG	8463	5358	0.61
T3_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	338	355	0.49
T3_H7VMKALXX_combined_L3_1	DAB2IP	CHG	251	8709	0.03
T3_H7VMKALXX_combined_L3_1	EP300-2	CHG	488	336	0.59
T3_H7VMKALXX_combined_L3_1	EP300-1	CHG	97	79	0.55
T3_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	25	22	0.53
T3_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	332	185	0.64
T3_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1395	799	0.64
T3_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	545	458	0.54
T3_H7VMKALXX_combined_L3_1	NOTCH2	CHG	2239	1489	0.60
T3_H7VMKALXX_combined_L3_1	NOTCH3	CHG	403	167	0.71
T3_H7VMKALXX_combined_L3_1	PTEN	CHG	547	317	0.63
T3_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	185	119	0.61
T3_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	16	13	0.55
T3_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	146	106	0.58
T3_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	431	4771	0.08
T3_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	54	3146	0.02
T3_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	63	2173	0.03
T3_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	83	2504	0.03
T3_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	396	7867	0.05
T3_H7VMKALXX_combined_L3_1	MET-1	CHH	935	64	0.94
T3_H7VMKALXX_combined_L3_1	MET-2	CHH	618	416	0.60
T3_H7VMKALXX_combined_L3_1	STK11	CHH	98609	51642	0.66
T3_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	1745	773	0.69
T3_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	379	261	0.59
T3_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	15795	6584	0.71
T3_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	145	55	0.72
T3_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	989	278	0.78
T3_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	2622	887	0.75
T3_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	8380	2338	0.78
T3_H7VMKALXX_combined_L3_1	ARID2-1	CHH	2045	685	0.75
T3_H7VMKALXX_combined_L3_1	RB1	CHH	1203	171	0.88
T3_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	4154	1552	0.73
T3_H7VMKALXX_combined_L3_1	CBL-2	CHH	11771	8016	0.59
T3_H7VMKALXX_combined_L3_1	RAB31-2	CHH	67	847	0.07
T3_H7VMKALXX_combined_L3_1	RAB31-1	CHH	464	11880	0.04
T3_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	1830	422	0.81
T3_H7VMKALXX_combined_L3_1	FBXW7	CHH	710	446	0.61
T3_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	39336	12465	0.76
T3_H7VMKALXX_combined_L3_1	MAP2K1-2	CHH	38	22	0.63
T3_H7VMKALXX_combined_L3_1	CBL-1	CHH	33548	19160	0.64
T3_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	2083	1202	0.63
T3_H7VMKALXX_combined_L3_1	DAB2IP	CHH	241	9451	0.02
T3_H7VMKALXX_combined_L3_1	EP300-2	CHH	1790	1202	0.60
T3_H7VMKALXX_combined_L3_1	EP300-1	CHH	834	680	0.55
T3_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	177	107	0.62
T3_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	1783	1201	0.60
T3_H7VMKALXX_combined_L3_1	EGFR-2	CHH	7532	3295	0.70
T3_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	5660	1665	0.77
T3_H7VMKALXX_combined_L3_1	NOTCH2	CHH	22904	9739	0.70
T3_H7VMKALXX_combined_L3_1	NOTCH3	CHH	5185	3908	0.57
T3_H7VMKALXX_combined_L3_1	PTEN	CHH	6574	2823	0.70
T3_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	12936	7880	0.62
T3_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	542	422	0.56
T3_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	2646	1988	0.57
T3_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	2422	9369	0.21
T3_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	123	5994	0.02
T3_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	383	7051	0.05
