#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
T8_H7VMKALXX_combined_L3_1	150	1179050	171608977	96.87	94.77	87.70




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
T8_H7VMKALXX_combined_L3_1	589525	524430	89.0% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
T8_H7VMKALXX_combined_L3_1	3149017	118313	0.05	11893	0.19	427285	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
T8_H7VMKALXX_combined_L3_1	EGFR-1	CG	151	3181	0.05
T8_H7VMKALXX_combined_L3_1	EGFR-2	CG	2290	6607	0.26
T8_H7VMKALXX_combined_L3_1	ERCC1-1	CG	467	1466	0.24
T8_H7VMKALXX_combined_L3_1	ERCC1-2	CG	381	1497	0.20
T8_H7VMKALXX_combined_L3_1	NOTCH3	CG	1946	2862	0.40
T8_H7VMKALXX_combined_L3_1	PTEN	CG	279	647	0.30
T8_H7VMKALXX_combined_L3_1	EP300-1	CG	163	2319	0.07
T8_H7VMKALXX_combined_L3_1	ERCC2-2	CG	143	522	0.22
T8_H7VMKALXX_combined_L3_1	ERCC2-1	CG	108	464	0.19
T8_H7VMKALXX_combined_L3_1	PRDM14-3	CG	672	5560	0.11
T8_H7VMKALXX_combined_L3_1	PRDM14-2	CG	633	6839	0.08
T8_H7VMKALXX_combined_L3_1	PRDM14-1	CG	909	3059	0.23
T8_H7VMKALXX_combined_L3_1	ABCA3-1	CHG	238	477	0.33
T8_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	119	5126	0.02
T8_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	265	8481	0.03
T8_H7VMKALXX_combined_L3_1	MET-1	CHG	148	30	0.83
T8_H7VMKALXX_combined_L3_1	MET-2	CHG	8	3	0.73
T8_H7VMKALXX_combined_L3_1	STK11	CHG	8843	4228	0.68
T8_H7VMKALXX_combined_L3_1	NOTCH2	CHG	3350	2107	0.61
T8_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	570	278	0.67
T8_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	86	58	0.60
T8_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	26	21	0.55
T8_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	348	103	0.77
T8_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	396	137	0.74
T8_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	1414	416	0.77
T8_H7VMKALXX_combined_L3_1	ARID2-1	CHG	321	171	0.65
T8_H7VMKALXX_combined_L3_1	RB1	CHG	713	581	0.55
T8_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	95	60	0.61
T8_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	376	253	0.60
T8_H7VMKALXX_combined_L3_1	RAB31-2	CHG	19	740	0.03
T8_H7VMKALXX_combined_L3_1	RAB31-1	CHG	72	3146	0.02
T8_H7VMKALXX_combined_L3_1	FBXW7	CHG	52	29	0.64
T8_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	4828	2262	0.68
T8_H7VMKALXX_combined_L3_1	CBL-2	CHG	656	459	0.59
T8_H7VMKALXX_combined_L3_1	CBL-1	CHG	4516	2575	0.64
T8_H7VMKALXX_combined_L3_1	DAB2IP	CHG	207	7957	0.03
T8_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	507	195	0.72
T8_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	127	60	0.68
T8_H7VMKALXX_combined_L3_1	EP300-2	CHG	141	176	0.44
T8_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1331	836	0.61
T8_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	273	218	0.56
T8_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	108	71	0.60
T8_H7VMKALXX_combined_L3_1	NOTCH3	CHG	453	159	0.74
T8_H7VMKALXX_combined_L3_1	PTEN	CHG	159	40	0.80
T8_H7VMKALXX_combined_L3_1	EP300-1	CHG	44	61	0.42
T8_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	30	25	0.55
T8_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	25	33	0.43
T8_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	447	5967	0.07
T8_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	145	6073	0.02
T8_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	86	2708	0.03
T8_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	926	1477	0.39
T8_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	202	6261	0.03
T8_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	539	11655	0.04
T8_H7VMKALXX_combined_L3_1	MET-1	CHH	960	232	0.81
T8_H7VMKALXX_combined_L3_1	MET-2	CHH	388	108	0.78
T8_H7VMKALXX_combined_L3_1	STK11	CHH	68542	35350	0.66
T8_H7VMKALXX_combined_L3_1	NOTCH2	CHH	35292	13708	0.72
T8_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	24217	9187	0.72
T8_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	595	372	0.62
T8_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	200	76	0.72
T8_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	2406	839	0.74
T8_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	3065	1273	0.71
T8_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	11397	2997	0.79
T8_H7VMKALXX_combined_L3_1	ARID2-1	CHH	2171	903	0.71
T8_H7VMKALXX_combined_L3_1	RB1	CHH	5078	1660	0.75
T8_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	2177	805	0.73
T8_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	2089	917	0.69
T8_H7VMKALXX_combined_L3_1	RAB31-2	CHH	31	1167	0.03
T8_H7VMKALXX_combined_L3_1	RAB31-1	CHH	281	9288	0.03
T8_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	2186	516	0.81
T8_H7VMKALXX_combined_L3_1	FBXW7	CHH	722	353	0.67
T8_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	38232	10025	0.79
T8_H7VMKALXX_combined_L3_1	CBL-2	CHH	8054	4657	0.63
T8_H7VMKALXX_combined_L3_1	CBL-1	CHH	17182	9889	0.63
T8_H7VMKALXX_combined_L3_1	DAB2IP	CHH	246	8450	0.03
T8_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	2588	1522	0.63
T8_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	5909	3569	0.62
T8_H7VMKALXX_combined_L3_1	EP300-2	CHH	667	435	0.61
T8_H7VMKALXX_combined_L3_1	EGFR-2	CHH	7376	2890	0.72
T8_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	3121	1540	0.67
T8_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	1501	625	0.71
T8_H7VMKALXX_combined_L3_1	NOTCH3	CHH	5680	4004	0.59
T8_H7VMKALXX_combined_L3_1	PTEN	CHH	1804	602	0.75
T8_H7VMKALXX_combined_L3_1	EP300-1	CHH	338	575	0.37
T8_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	1277	621	0.67
T8_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	605	475	0.56
T8_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	2275	10770	0.17
T8_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	278	12125	0.02
T8_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	321	8716	0.04
